"row ID","NomeCidade","CodEstadoIBGE","NomeEstado","Regiao"
"Row383","Mateiros",17,"Tocantins","Norte"
"Row384","Maurilândia do Tocantins",17,"Tocantins","Norte"
"Row385","Miracema do Tocantins",17,"Tocantins","Norte"
"Row386","Miranorte",17,"Tocantins","Norte"
"Row387","Monte do Carmo",17,"Tocantins","Norte"
"Row388","Monte Santo do Tocantins",17,"Tocantins","Norte"
"Row389","Palmeiras do Tocantins",17,"Tocantins","Norte"
"Row390","Muricilândia",17,"Tocantins","Norte"
"Row391","Natividade",17,"Tocantins","Norte"
"Row392","Nazaré",17,"Tocantins","Norte"
"Row393","Nova Olinda",17,"Tocantins","Norte"
"Row394","Nova Rosalândia",17,"Tocantins","Norte"
"Row395","Novo Acordo",17,"Tocantins","Norte"
"Row396","Novo Alegre",17,"Tocantins","Norte"
"Row397","Novo Jardim",17,"Tocantins","Norte"
"Row398","Oliveira de Fátima",17,"Tocantins","Norte"
"Row399","Palmeirante",17,"Tocantins","Norte"
"Row400","Palmeirópolis",17,"Tocantins","Norte"
"Row401","Paraíso do Tocantins",17,"Tocantins","Norte"
"Row402","Paranã",17,"Tocantins","Norte"
"Row403","Pau D'Arco",17,"Tocantins","Norte"
"Row404","Pedro Afonso",17,"Tocantins","Norte"
"Row405","Peixe",17,"Tocantins","Norte"
"Row406","Pequizeiro",17,"Tocantins","Norte"
"Row407","Colméia",17,"Tocantins","Norte"
"Row408","Pindorama do Tocantins",17,"Tocantins","Norte"
"Row409","Piraquê",17,"Tocantins","Norte"
"Row410","Pium",17,"Tocantins","Norte"
"Row411","Ponte Alta do Bom Jesus",17,"Tocantins","Norte"
"Row412","Ponte Alta do Tocantins",17,"Tocantins","Norte"
"Row413","Porto Alegre do Tocantins",17,"Tocantins","Norte"
"Row414","Porto Nacional",17,"Tocantins","Norte"
"Row415","Praia Norte",17,"Tocantins","Norte"
"Row416","Presidente Kennedy",17,"Tocantins","Norte"
"Row417","Pugmil",17,"Tocantins","Norte"
"Row418","Recursolândia",17,"Tocantins","Norte"
"Row419","Riachinho",17,"Tocantins","Norte"
"Row420","Rio da Conceição",17,"Tocantins","Norte"
"Row421","Rio dos Bois",17,"Tocantins","Norte"
"Row422","Rio Sono",17,"Tocantins","Norte"
"Row423","Sampaio",17,"Tocantins","Norte"
"Row424","Sandolândia",17,"Tocantins","Norte"
"Row425","Santa Fé do Araguaia",17,"Tocantins","Norte"
"Row426","Santa Maria do Tocantins",17,"Tocantins","Norte"
"Row427","Santa Rita do Tocantins",17,"Tocantins","Norte"
"Row428","Santa Rosa do Tocantins",17,"Tocantins","Norte"
"Row429","Santa Tereza do Tocantins",17,"Tocantins","Norte"
"Row430","Santa Terezinha do Tocantins",17,"Tocantins","Norte"
"Row431","São Bento do Tocantins",17,"Tocantins","Norte"
"Row432","São Félix do Tocantins",17,"Tocantins","Norte"
"Row433","São Miguel do Tocantins",17,"Tocantins","Norte"
"Row434","São Salvador do Tocantins",17,"Tocantins","Norte"
"Row435","São Sebastião do Tocantins",17,"Tocantins","Norte"
"Row436","São Valério",17,"Tocantins","Norte"
"Row437","Silvanópolis",17,"Tocantins","Norte"
"Row438","Sítio Novo do Tocantins",17,"Tocantins","Norte"
"Row439","Sucupira",17,"Tocantins","Norte"
"Row440","Taguatinga",17,"Tocantins","Norte"
"Row441","Taipas do Tocantins",17,"Tocantins","Norte"
"Row442","Talismã",17,"Tocantins","Norte"
"Row443","Palmas",17,"Tocantins","Norte"
"Row444","Tocantínia",17,"Tocantins","Norte"
"Row445","Tocantinópolis",17,"Tocantins","Norte"
"Row446","Tupirama",17,"Tocantins","Norte"
"Row447","Tupiratins",17,"Tocantins","Norte"
"Row448","Wanderlândia",17,"Tocantins","Norte"
"Row449","Xambioá",17,"Tocantins","Norte"
"Row450","Açailândia",21,"Maranhão","Nordeste"
"Row451","Afonso Cunha",21,"Maranhão","Nordeste"
"Row452","Água Doce do Maranhão",21,"Maranhão","Nordeste"
"Row453","Alcântara",21,"Maranhão","Nordeste"
"Row454","Aldeias Altas",21,"Maranhão","Nordeste"
"Row455","Altamira do Maranhão",21,"Maranhão","Nordeste"
"Row456","Alto Alegre do Maranhão",21,"Maranhão","Nordeste"
"Row457","Alto Alegre do Pindaré",21,"Maranhão","Nordeste"
"Row458","Alto Parnaíba",21,"Maranhão","Nordeste"
"Row459","Amapá do Maranhão",21,"Maranhão","Nordeste"
"Row460","Amarante do Maranhão",21,"Maranhão","Nordeste"
"Row461","Anajatuba",21,"Maranhão","Nordeste"
"Row462","Anapurus",21,"Maranhão","Nordeste"
"Row463","Apicum-Açu",21,"Maranhão","Nordeste"
"Row464","Araguanã",21,"Maranhão","Nordeste"
"Row465","Araioses",21,"Maranhão","Nordeste"
"Row466","Arame",21,"Maranhão","Nordeste"
"Row467","Arari",21,"Maranhão","Nordeste"
"Row468","Axixá",21,"Maranhão","Nordeste"
"Row469","Bacabal",21,"Maranhão","Nordeste"
"Row470","Bacabeira",21,"Maranhão","Nordeste"
"Row471","Bacuri",21,"Maranhão","Nordeste"
"Row472","Bacurituba",21,"Maranhão","Nordeste"
"Row473","Balsas",21,"Maranhão","Nordeste"
"Row474","Barão de Grajaú",21,"Maranhão","Nordeste"
"Row475","Barra do Corda",21,"Maranhão","Nordeste"
"Row476","Barreirinhas",21,"Maranhão","Nordeste"
"Row477","Belágua",21,"Maranhão","Nordeste"
"Row478","Bela Vista do Maranhão",21,"Maranhão","Nordeste"
"Row479","Benedito Leite",21,"Maranhão","Nordeste"
"Row480","Bequimão",21,"Maranhão","Nordeste"
"Row481","Bernardo do Mearim",21,"Maranhão","Nordeste"
"Row482","Boa Vista do Gurupi",21,"Maranhão","Nordeste"
"Row483","Bom Jardim",21,"Maranhão","Nordeste"
"Row484","Bom Jesus das Selvas",21,"Maranhão","Nordeste"
"Row485","Bom Lugar",21,"Maranhão","Nordeste"
"Row486","Brejo",21,"Maranhão","Nordeste"
"Row487","Brejo de Areia",21,"Maranhão","Nordeste"
"Row488","Buriti",21,"Maranhão","Nordeste"
"Row489","Buriti Bravo",21,"Maranhão","Nordeste"
"Row490","Buriticupu",21,"Maranhão","Nordeste"
"Row491","Buritirana",21,"Maranhão","Nordeste"
"Row492","Cachoeira Grande",21,"Maranhão","Nordeste"
"Row493","Cajapió",21,"Maranhão","Nordeste"
"Row494","Cajari",21,"Maranhão","Nordeste"
"Row495","Campestre do Maranhão",21,"Maranhão","Nordeste"
"Row496","Cândido Mendes",21,"Maranhão","Nordeste"
"Row497","Cantanhede",21,"Maranhão","Nordeste"
"Row498","Capinzal do Norte",21,"Maranhão","Nordeste"
"Row499","Carolina",21,"Maranhão","Nordeste"
"Row500","Carutapera",21,"Maranhão","Nordeste"
"Row501","Caxias",21,"Maranhão","Nordeste"
"Row502","Cedral",21,"Maranhão","Nordeste"
"Row503","Central do Maranhão",21,"Maranhão","Nordeste"
"Row504","Centro do Guilherme",21,"Maranhão","Nordeste"
"Row505","Centro Novo do Maranhão",21,"Maranhão","Nordeste"
"Row506","Chapadinha",21,"Maranhão","Nordeste"
"Row507","Cidelândia",21,"Maranhão","Nordeste"
"Row508","Codó",21,"Maranhão","Nordeste"
"Row509","Coelho Neto",21,"Maranhão","Nordeste"
"Row510","Colinas",21,"Maranhão","Nordeste"
"Row511","Conceição do Lago-Açu",21,"Maranhão","Nordeste"
"Row512","Coroatá",21,"Maranhão","Nordeste"
"Row513","Cururupu",21,"Maranhão","Nordeste"
"Row514","Davinópolis",21,"Maranhão","Nordeste"
"Row515","Dom Pedro",21,"Maranhão","Nordeste"
"Row516","Duque Bacelar",21,"Maranhão","Nordeste"
"Row517","Esperantinópolis",21,"Maranhão","Nordeste"
"Row518","Estreito",21,"Maranhão","Nordeste"
"Row519","Feira Nova do Maranhão",21,"Maranhão","Nordeste"
